distance,dq
5.01685,0.01176
2.96880,0.03273
2.94669,0.03865
-1.00000,0.12073
4.16741,-0.02852
4.68897,0.02696
4.17538,-0.04960
2.86316,-0.09274
1.91312,0.27651
2.86462,-0.09786
0.00000,-0.26638
5.33633,0.04034
5.51701,-0.00751
6.47029,-0.01455
6.76033,0.00407
7.44396,-0.00496
8.53368,0.00071
8.27203,-0.00496
7.70600,0.00407
5.01350,0.01192
5.77430,-0.00073
2.97915,0.03615
2.96496,0.03704
7.59304,0.00008
5.97217,0.00008
6.82222,0.00193
7.98823,0.00193
7.74754,0.00193
9.29143,0.00193
7.65527,0.00008
8.50080,0.00008
-1.00000,0.12200
8.71439,0.00872
7.25996,0.00270
6.61238,0.00038
5.20053,-0.00341
5.28297,-0.00782
