distance,dq
4.51365,-0.00104
5.42547,-0.01733
6.43227,0.02119
6.21186,-0.01949
5.12262,0.01964
0.00000,-0.30160
6.02389,-0.00437
5.18069,0.01577
3.05578,0.03813
5.28771,0.00505
5.47643,0.00007
7.37708,-0.00474
7.00141,0.00227
-1.00000,0.14318
5.58113,0.04371
4.40953,-0.03270
3.08227,-0.12610
2.14584,0.31457
3.08317,-0.11332
4.39942,-0.02548
4.93586,-0.00234
6.34679,0.03474
7.32135,-0.00855
7.27794,0.00122
8.73014,-0.00214
0.00000,-0.27932
6.26968,-0.00810
5.43510,-0.00810
6.27006,-0.00810
3.14364,0.04615
3.15670,0.03785
5.23630,0.01342
6.81662,-0.01406
8.87578,0.00072
9.30068,0.00072
9.29538,0.00072
-1.00000,0.13448
6.46901,0.03701
4.96075,0.03862
4.39525,-0.06410
3.07966,-0.08530
2.13952,0.30883
3.07451,-0.09931
4.39938,-0.06233
5.50701,0.03217
6.50569,-0.00854
0.00000,-0.29974
6.94339,-0.01072
6.94326,-0.01072
6.93399,-0.01072
5.22298,0.02096
3.14790,0.03257
3.15322,0.03685
-1.00000,0.14444
4.39528,-0.04839
3.08408,-0.10310
2.14455,0.31764
3.08415,-0.10310
4.40609,-0.04839
4.94101,0.02013
6.34910,0.02548
7.32353,-0.00690
7.29486,0.00014
8.59276,-0.00395
9.80879,0.00334
10.02099,-0.00069
10.90145,-0.00011
0.00000,-0.30276
5.22686,0.01923
3.15756,0.03742
3.15143,0.03742
5.23731,0.01923
6.79722,-0.00878
8.74594,0.00028
10.89381,-0.00006
11.76320,-0.00006
-1.00000,0.14597
3.04898,-0.15780
2.11578,0.40951
3.08651,-0.13383
3.33192,0.04648
4.35723,-0.05531
5.14541,0.02078
4.95644,0.05371
6.17793,-0.00769
4.36011,-0.06615
5.54895,0.03837
6.15789,-0.00085
6.51485,-0.00950
6.36810,-0.00784
6.10688,-0.02269
7.11085,0.00870
5.39505,-0.00290
5.72195,-0.01791
6.08024,0.00583
0.00000,-0.36265
3.17586,0.05869
6.60191,0.00221
7.51252,0.00221
7.37002,0.00576
5.71165,0.00576
6.50384,0.00882
4.73531,0.00882
6.07659,0.00035
-1.00000,0.16910
3.04854,-0.15442
2.11542,0.41033
3.08562,-0.13800
3.33001,0.04635
4.35844,-0.04667
5.14579,0.01906
4.95800,0.04717
6.17936,-0.00572
4.35916,-0.07437
5.54388,0.06906
6.15366,-0.00897
6.52485,-0.03811
7.07564,0.03502
6.03049,-0.03554
5.42292,0.01130
5.39952,-0.00838
6.83175,-0.00067
6.15433,0.01116
0.00000,-0.36147
3.17967,0.05616
6.18265,0.00753
7.38625,0.00753
7.91966,-0.00662
7.56153,-0.00662
7.61691,0.00092
7.43230,0.00092
6.88404,-0.00337
-1.00000,0.16641
3.04775,-0.16492
2.11478,0.42116
3.08562,-0.14277
3.33016,0.04814
4.35804,-0.04685
5.14549,0.01930
4.95736,0.04779
6.17948,-0.00580
4.35841,-0.07467
5.54388,0.07609
6.15280,-0.01005
6.52403,-0.04428
7.07361,0.04302
6.02850,-0.04598
5.41978,0.01455
5.39967,-0.00917
6.82974,-0.00127
6.15250,0.01163
0.00000,-0.36842
3.17881,0.06116
7.38495,0.00863
6.18093,0.00863
7.55898,-0.00801
7.91755,-0.00801
7.43118,0.00199
7.61421,0.00199
6.88222,-0.00337
-1.00000,0.16949
3.04747,-0.16061
2.11436,0.44211
3.08958,-0.15973
3.33643,0.05074
4.35608,-0.03621
5.14597,0.01778
4.96331,0.04405
6.18207,-0.00598
4.37021,-0.08711
5.48868,0.07128
5.18262,-0.02378
6.66942,0.01855
7.80567,-0.03468
7.59911,0.00486
8.13838,-0.00355
6.20999,-0.00684
8.34867,0.00792
8.61444,0.00000
0.00000,-0.37842
3.14743,0.06125
7.05157,-0.00363
6.56556,-0.00363
8.76431,0.00793
7.96443,0.00793
9.34026,-0.00160
7.91708,-0.00160
9.09397,-0.00099
-1.00000,0.17398
11.50710,0.00202
10.40703,0.00093
10.58281,0.00195
9.45714,-0.00418
8.59273,-0.00166
9.23233,0.00018
7.24392,-0.00385
6.35187,0.01026
4.95686,0.04011
4.39952,-0.05967
3.08820,-0.09592
2.14572,0.30950
3.08492,-0.09592
4.40541,-0.05967
0.00000,-0.30118
9.33308,0.00579
12.37921,-0.00068
11.24437,-0.00068
11.90611,-0.00068
11.51420,-0.00029
7.20901,0.00080
7.23740,0.00080
6.81527,-0.00493
5.23061,0.02070
3.15789,0.03700
3.15508,0.03700
5.22113,0.02070
9.31376,-0.00146
10.28088,-0.00146
8.53077,-0.00146
-1.00000,0.14595
8.38122,-0.00444
8.62364,0.00921
7.74049,-0.00932
6.40490,-0.01166
6.08318,-0.00932
7.17771,0.00921
5.66535,0.07158
4.38938,-0.10191
3.05718,-0.07479
2.14266,0.29537
3.08760,-0.08933
4.39205,-0.04871
4.92173,0.04467
6.24138,0.00114
6.58887,-0.01755
0.00000,-0.30132
9.26110,-0.00028
9.64961,-0.00155
8.20370,0.00193
5.18750,0.00193
7.24329,-0.00155
3.12945,0.03782
3.11283,0.03833
5.23055,0.01544
-1.00000,0.14510
9.46100,0.00339
8.56538,-0.00352
9.24788,0.00286
10.63757,0.00159
11.36325,-0.00215
10.81809,0.00039
7.11627,-0.00836
6.34749,0.01020
4.94693,0.02736
4.39666,-0.04719
3.08408,-0.09405
2.14607,0.29331
3.08239,-0.09405
4.39848,-0.04719
0.00000,-0.28592
12.71766,0.00006
11.84550,-0.00053
5.23954,0.01643
3.15107,0.03606
3.14819,0.03606
5.22841,0.01643
6.86625,0.00428
8.78409,-0.00309
11.27234,0.00002
9.19523,-0.00155
11.55840,0.00040
13.10459,0.00043
-1.00000,0.13832
3.37791,-0.02104
3.10379,-0.08522
4.39965,-0.02265
4.91304,0.02310
4.37878,-0.06007
3.04342,-0.09516
2.15604,0.27272
0.00000,-0.26347
5.51044,0.05243
5.84154,-0.01717
5.21989,0.00070
7.34098,-0.00058
8.24243,0.00184
9.60183,-0.00165
10.12971,0.00141
9.41675,-0.00165
8.02772,0.00184
3.23961,0.01292
4.47146,0.01292
3.24268,0.01292
5.25213,0.01425
6.00159,-0.00165
3.09128,0.04678
6.37857,-0.01134
8.02243,0.00010
10.35059,0.00025
11.21314,-0.00017
10.04634,0.00025
7.58395,0.00010
-1.00000,0.12731
9.29540,0.00156
8.59933,-0.00455
9.33373,0.00165
10.24350,0.00105
10.16314,-0.00096
7.10085,-0.00588
6.34989,0.00356
4.94009,0.03511
4.39694,-0.05031
