distance,dq
7.04858,-0.00333
5.67850,-0.00282
4.89798,0.00436
2.88746,0.03513
7.54201,-0.00218
6.84451,-0.00218
7.37587,-0.00218
4.20891,-0.00218
4.52064,-0.00218
5.74869,-0.00218
-1.00000,0.09426
4.01863,0.01742
2.72393,-0.15383
1.75393,0.30862
2.72393,-0.15383
4.01863,0.01742
4.51433,-0.01424
6.30733,0.01731
6.89077,-0.00512
6.89066,-0.00512
6.90512,0.00108
0.00000,-0.23156
4.88092,0.00519
2.85977,0.04786
2.85977,0.04786
4.88092,0.00519
7.52334,-0.00186
7.52323,-0.00186
-1.00000,0.09947
3.89386,-0.09461
4.53558,0.03478
4.05651,-0.00874
5.06080,0.06477
4.70923,-0.03376
3.38521,0.11598
2.77542,-0.21626
1.76473,0.30964
2.62831,-0.00868
0.00000,-0.25803
3.30701,-0.04402
4.77794,-0.02391
5.78201,-0.00415
5.86759,-0.02182
6.45086,-0.03477
7.60497,0.00916
4.69267,0.02743
2.73590,0.01878
3.27252,0.01878
5.10021,0.00795
5.12500,0.00795
5.81457,0.00361
6.78065,0.00361
6.68124,0.00854
6.35090,0.00854
-1.00000,0.10921
3.18630,0.00384
3.16563,0.09628
4.22880,-0.01013
5.07661,-0.01731
5.10009,0.01196
4.23176,-0.02357
2.76461,-0.17355
1.75935,0.29700
2.69927,-0.10755
4.00880,-0.02604
4.54287,0.03428
4.04420,-0.00283
0.00000,-0.24451
6.28988,0.00084
4.86595,-0.00287
5.62926,-0.00708
4.84750,0.01052
2.79902,0.03989
4.90573,0.00226
4.67697,0.00695
4.49984,0.00279
5.62800,0.00279
6.48576,0.00057
6.86025,0.00057
-1.00000,0.10492
6.53320,0.00600
6.88468,-0.00435
5.96461,-0.00206
4.57829,0.03484
4.02274,-0.03035
5.44473,0.01419
2.72847,-0.09106
1.75606,0.23667
2.73476,-0.08980
4.02777,-0.02841
8.21588,-0.00613
0.00000,-0.20934
5.53897,-0.00298
6.08962,-0.00298
7.15477,0.00219
8.98521,0.00169
8.63605,0.00169
8.23150,0.00169
6.43680,-0.00145
4.87920,0.01125
